time,forward_velocity,angular_velocity,x_position,y_position,azimuth
3131962.0,0.00043475133654873337,0.0011383726849569285,46.57,30.91,180.30329999819486
3132012.0,0.0005937395761662643,0.0016448230674335211,46.57,30.91,180.30329999819486
3132062.0,0.0007344995447968437,0.002095524264217122,46.57,30.91,180.30329999819486
3132112.0,0.0008579654686445917,0.002493258498102296,46.57,30.91,180.30329999819486
3132162.0,0.0009650715739136275,0.002840807991883607,46.56968277,30.91009247,180.30234550780395
3132212.0,0.0010567520868080714,0.0031409549683556193,46.56968277,30.91009247,180.30234550780395
3132262.0,0.001133941233532042,0.003396481650312898,46.56968277,30.91009247,180.30234550780395
3132312.0,0.0011975732402896605,0.003610170260550007,46.56968277,30.91009247,180.30234550780395
3132362.0,0.001248582333285046,0.0037848030218615106,46.56968277,30.91009247,180.30234550780395
3132412.0,0.001287902738722318,0.003923162157041974,46.56939143,30.91019209,180.30141874857034
3132462.0,0.0013164686828055962,0.00402802988888596,46.56939143,30.91019209,180.30141874857034
3132512.0,0.0013352143917390005,0.004102188440188035,46.56939143,30.91019209,180.30141874857034
3132562.0,0.0013450740917266512,0.004148420033742762,46.56939143,30.91019209,180.30141874857034
3132612.0,0.0013469820089726668,0.004169506892344705,46.56939143,30.91019209,180.30141874857034
3132662.0,0.001341872369681168,0.0041682312387884305,46.56911391,30.91029304,180.3004880359279
3132712.0,0.0013306794000562745,0.004147375295868501,46.56911391,30.91029304,180.3004880359279
3132762.0,0.0013143373263021052,0.004109721286379481,46.56911391,30.91029304,180.3004880359279
3132812.0,0.0012937803746227803,0.004058051433115936,46.56911391,30.91029304,180.3004880359279
3132862.0,0.00126994277122242,0.0039951479588724295,46.56911391,30.91029304,180.3004880359279
3132912.0,0.0012437587423051433,0.003923793086443527,46.56884468,30.91037545,180.29955915675046
3132962.0,0.0012161625140751405,0.003846769038624014,46.56884468,30.91037545,180.29955915675046
3133012.0,0.0012336725226343042,0.00390891167259265,46.56884468,30.91037545,180.29955915675046
3133062.0,0.0012300250285732933,0.00390585426439876,46.56884468,30.91037545,180.29955915675046
3133112.0,0.0012052200318921076,0.0038375968140423435,46.56884468,30.91037545,180.29955915675046
3133162.0,0.0009550938815709293,0.0030988345977067304,46.56855816,30.9104731,180.29861858923394
3133212.0,0.0012144783755286665,0.0038474148192197246,46.56855816,30.9104731,180.29861858923394
3133262.0,0.0012391677251851554,0.003913758077053258,46.56855816,30.9104731,180.29861858923394
3133312.0,0.0012428278073878343,0.003915061787904843,46.56855816,30.9104731,180.29861858923394
3133362.0,0.001225458622136703,0.0038513259517744796,46.56855816,30.9104731,180.29861858923394
3133412.0,0.0009757319609682376,0.0031135409560882404,46.56827127,30.91056526,180.29768896521136
3133462.0,0.0012260942660758901,0.003845046240318753,46.56827127,30.91056526,180.29768896521136
3133512.0,0.0012561656092697716,0.003912114726375264,46.56827127,30.91056526,180.29768896521136
3133562.0,0.0012650426164188227,0.0039140121693980925,46.56827127,30.91056526,180.29768896521136
3133612.0,0.001252725287523044,0.0038507385693872355,46.56827127,30.91056526,180.29768896521136
3133662.0,0.0010170432325164538,0.0031128397271428907,46.56799265,30.91066372,180.296760315217
3133712.0,0.0012593234391408427,0.0038479248538990578,46.56799265,30.91066372,180.296760315217
3133762.0,0.0012893028258529745,0.003915913812314742,46.56799265,30.91066372,180.296760315217
3133812.0,0.0012979365234943045,0.003918628730789862,46.56799265,30.91066372,180.296760315217
3133862.0,0.0012852245320648323,0.003856069609324417,46.56799265,30.91066372,180.296760315217
3133912.0,0.0010521232783934765,0.0031121875467369307,46.56769778,30.91075874,180.29582839936324
3133962.0,0.0012815323120715654,0.0038480030515361465,46.56769778,30.91075874,180.29582839936324
3134012.0,0.001307302564741345,0.00391769995866189,46.56769778,30.91075874,180.29582839936324
3134062.0,0.0013114979835902052,0.003921914832092642,46.56769778,30.91075874,180.29582839936324
3134112.0,0.001294118568618146,0.003860647671828403,46.56769778,30.91075874,180.29582839936324
3134162.0,0.001047643522142894,0.0031105138969655995,46.56740207,30.9108694,180.29489230091755
3134212.0,0.0012916115023568855,0.003858784727792413,46.56740207,30.9108694,180.29489230091755
3134262.0,0.001318110118531807,0.003933173994020722,46.56740207,30.9108694,180.29489230091755
3134312.0,0.0013228748548192682,0.0039418762327099914,46.56740207,30.9108694,180.29489230091755
3134362.0,0.0013059057112192695,0.0038848914438602187,46.56740207,30.9108694,180.29489230091755
3134412.0,0.0010732777644765585,0.003124830567071645,46.56710396,30.91100334,180.2939504728939
3134462.0,0.001312625865443399,0.0038716251421912714,46.56710396,30.91100334,180.2939504728939
3134512.0,0.0013354054611873518,0.0039511250049599385,46.56710396,30.91100334,180.2939504728939
3134562.0,0.0013364636216687445,0.003964448354887406,46.56710396,30.91100334,180.2939504728939
3134612.0,0.0013158003468875766,0.003911595191973672,46.56710396,30.91100334,180.2939504728939
3134662.0,0.001076571349932605,0.003154027940339698,46.56682202,30.91113848,180.29300795732092
3134712.0,0.0013082108013085744,0.0039034733358852,46.56682202,30.91113848,180.29300795732092
3134762.0,0.0013269698054347364,0.003985740365560022,46.56682202,30.91113848,180.29300795732092
3134812.0,0.0013239296003595693,0.004001317397812939,46.56682202,30.91113848,180.29300795732092
3134862.0,0.0012990901860830731,0.003950204432643949,46.56682202,30.91113848,180.29300795732092
3134912.0,0.0010582076229717612,0.0031935304541724436,46.56654787,30.91127846,180.29205524309918
3134962.0,0.0012966328923578946,0.0039464728446795055,46.56654787,30.91127846,180.29205524309918
