time,velocity_r3, angular_vel_r3,num_detections3,num_inliers3,average_range3,velocity_r4,angular_vel_r4,num_detections4,num_inliers4,average_range4,combined_velocity,combined_angular_vel,x,y
3132112.0,-0.1038243651298903,-1.0221212870821206,5.0,5.0,6.029999999999999,nan,nan,nan,nan,nan,-0.1038243651298903,-0.8805382005531166,46.57,30.91
3132262.0,-0.0,-0.0,5.0,5.0,7.06,nan,nan,nan,nan,nan,-0.0,-0.9622530455401583,46.57435462864695,30.91
3132412.0,-0.0,-0.0,5.0,5.0,9.62,nan,nan,nan,nan,nan,-0.0,-1.0253908187164138,46.57750335253781,30.909992741411486
3132962.0,-0.0,-0.0,5.0,5.0,10.15,nan,nan,nan,nan,nan,-0.0,-1.0713899398455209,46.58524918801438,30.9099553719874
3133012.0,-0.0,-0.0,6.0,6.0,9.466666666666667,nan,nan,nan,nan,nan,-0.0,-1.1016888286911168,46.58566086871744,30.909949333243507
3133162.0,0.04723566595475474,3.6834209727458616,5.0,2.0,9.629999999999999,nan,nan,nan,nan,nan,0.04723566595475474,-1.1177259050168389,46.586166656400614,30.909941441088414
3133212.0,0.035618440788438926,3.8514475712899885,5.0,5.0,9.69,nan,nan,nan,nan,nan,0.035618440788438926,-1.1209395885863251,46.58613789984954,30.909941972760993
3133462.0,-0.0,-0.0,5.0,5.0,7.01,nan,nan,nan,nan,nan,-0.0,-1.1127682991632124,46.585217976782204,30.909959878601338
3133512.0,-0.0,-0.0,5.0,5.0,9.52,nan,nan,nan,nan,nan,-0.0,-1.0946504565111388,46.584917297588305,30.90996720250821
3133612.0,0.04779826299102895,3.681099044649913,5.0,2.0,9.629999999999999,nan,nan,nan,nan,nan,0.04779826299102895,-1.068024480393741,46.584152304924146,30.909986579428246
3134012.0,-0.0,-0.0,5.0,5.0,9.629999999999999,nan,nan,nan,nan,nan,-0.0,-1.0343287905746574,46.580688132647154,30.91008094831776
3134462.0,-0.0,-0.0,5.0,5.0,6.029999999999999,nan,nan,nan,nan,nan,-0.0,-0.9950018068175249,46.5765859842685,30.91022331256151
3134512.0,0.03272607220603327,3.747512412385956,5.0,5.0,9.629999999999999,nan,nan,nan,nan,nan,0.03272607220603327,-0.9514819488859814,46.57613151184012,30.910242782459118
3135012.0,-0.0,-0.0,6.0,6.0,9.458333333333334,nan,nan,nan,nan,nan,-0.0,-0.9052076365436639,46.57180309636264,30.910431980038215
3135062.0,-0.0,-0.0,5.0,5.0,9.629999999999999,nan,nan,nan,nan,nan,-0.0,-0.8576172895542099,46.571408853547695,30.91045249363871
3135512.0,-0.0,-0.0,5.0,5.0,10.17,nan,nan,nan,nan,nan,-0.0,-0.8101493276812572,46.56832557658674,30.9106153678153
3136462.0,-0.09581974658616887,-3.3489295478819425,5.0,5.0,6.029999999999999,nan,nan,nan,nan,nan,-0.09581974658616887,-0.7642421706884434,46.562982198408356,30.910933737165344
3136512.0,-0.07371403632034859,0.7685744721605776,7.0,7.0,8.65,nan,nan,nan,nan,nan,-0.07371403632034859,-0.7213342383394054,46.562768385995305,30.910949361318618
3136562.0,0.03276184326944136,3.751608611382344,5.0,5.0,7.01,nan,nan,nan,nan,nan,0.03276184326944136,-0.6828639503977625,46.56262414287364,30.910959998475423
3136612.0,-0.0,-0.0,5.0,5.0,7.01,nan,nan,nan,nan,nan,-0.0,-0.7403234759705913,46.56254825563193,30.91096564278434
3136862.0,-0.0,-0.0,5.0,5.0,6.029999999999999,nan,nan,nan,nan,nan,-0.0,-0.6562593795414065,46.56248653153362,30.91097027066022
3136962.0,0.048059128131892274,3.6809286989482835,7.0,7.0,8.65,nan,nan,nan,nan,nan,0.048059128131892274,-0.7441729090582598,46.562699340414426,30.910953623465044
3137512.0,-0.0,-0.0,5.0,5.0,7.01,nan,nan,nan,nan,nan,-0.0,-0.6836000667149745,46.56228106095042,30.910986825877146
3137612.0,-0.0,-0.0,5.0,5.0,7.01,nan,nan,nan,nan,nan,-0.0,-0.7593834219187738,46.56211066174596,30.91100157755723
3137712.0,-0.0,-0.0,5.0,5.0,9.629999999999999,nan,nan,nan,nan,nan,-0.0,-0.6933421827724289,46.56166410554195,30.91104077334501
