%time,field.header.seq,field.header.stamp,field.header.frame_id,field.speed
1575033823416127859,0,3131831805000,vehicle_info_speed,0.0
1575033823430896388,1,3131842012000,vehicle_info_speed,0.0
1575033823450086694,2,3131851823000,vehicle_info_speed,0.0
1575033823460948522,3,3131862061000,vehicle_info_speed,0.0
1575033823480079257,4,3131871823000,vehicle_info_speed,0.0
1575033823499842884,5,3131882878000,vehicle_info_speed,0.0
1575033823511298485,6,3131891906000,vehicle_info_speed,0.0
1575033823528798134,7,3131902885000,vehicle_info_speed,0.0
1575033823550182818,8,3131912266000,vehicle_info_speed,0.0
1575033823564598054,9,3131922885000,vehicle_info_speed,0.0
1575033823585502398,10,3131932868000,vehicle_info_speed,0.0
1575033823596684739,11,3131942204000,vehicle_info_speed,0.0
1575033823610381998,12,3131952868000,vehicle_info_speed,0.0
1575033823631033125,13,3131963030000,vehicle_info_speed,0.0
1575033823640937358,14,3131972868000,vehicle_info_speed,0.0
1575033823657436926,15,3131982410000,vehicle_info_speed,0.0
1575033823670218923,16,3131992925000,vehicle_info_speed,0.0
1575033823687153204,17,3132002884000,vehicle_info_speed,0.0
1575033823710840169,18,3132012976000,vehicle_info_speed,0.0
1575033823723307539,19,3132022884000,vehicle_info_speed,0.0
1575033823744826569,20,3132032868000,vehicle_info_speed,0.0
1575033823755599266,21,3132042943000,vehicle_info_speed,0.0
1575033823775900055,22,3132052838000,vehicle_info_speed,0.0
1575033823801279343,23,3132063058000,vehicle_info_speed,0.0
1575033823801285722,24,3132072868000,vehicle_info_speed,0.0
1575033823831298693,25,3132082863000,vehicle_info_speed,0.0
1575033823853020327,26,3132092952000,vehicle_info_speed,0.0
1575033823867889266,27,3132102878000,vehicle_info_speed,0.0
1575033823887114957,28,3132113034000,vehicle_info_speed,0.0
1575033823909239550,29,3132122847000,vehicle_info_speed,0.0
1575033823918406768,30,3132132882000,vehicle_info_speed,0.0
1575033823932330202,31,3132142948000,vehicle_info_speed,0.0
1575033823956862535,32,3132152882000,vehicle_info_speed,0.0
1575033823980589902,33,3132163217000,vehicle_info_speed,0.0
1575033823980649087,34,3132172868000,vehicle_info_speed,0.0
1575033824010796952,35,3132182878000,vehicle_info_speed,0.0
1575033824028048594,36,3132192936000,vehicle_info_speed,0.0
1575033824046397840,37,3132203011000,vehicle_info_speed,0.0
1575033824067997536,38,3132213036000,vehicle_info_speed,0.0
1575033824081004782,39,3132224633000,vehicle_info_speed,0.0
1575033824096408725,40,3132232692000,vehicle_info_speed,0.0
1575033824117848056,41,3132243082000,vehicle_info_speed,0.0
1575033824140073492,42,3132252863000,vehicle_info_speed,0.0
1575033824163014279,43,3132264427000,vehicle_info_speed,0.0
1575033824172955857,44,3132272805000,vehicle_info_speed,0.0
1575033824192205044,45,3132284120000,vehicle_info_speed,0.0
1575033824203008915,46,3132292800000,vehicle_info_speed,0.0
1575033824222076978,47,3132303075000,vehicle_info_speed,0.0
1575033824245474325,48,3132313028000,vehicle_info_speed,0.0
1575033824245501616,49,3132324199000,vehicle_info_speed,0.0
1575033824274163646,50,3132332905000,vehicle_info_speed,0.0
1575033824309109154,51,3132343197000,vehicle_info_speed,0.0
1575033824318444330,52,3132352962000,vehicle_info_speed,0.0
1575033824318459195,53,3132363335000,vehicle_info_speed,0.0
1575033824338792075,54,3132372882000,vehicle_info_speed,0.0
1575033824354019248,55,3132383184000,vehicle_info_speed,0.0
1575033824369153096,56,3132392896000,vehicle_info_speed,0.0
1575033824391401193,57,3132403506000,vehicle_info_speed,0.0
1575033824406357983,58,3132413197000,vehicle_info_speed,0.0
1575033824435800044,59,3132423223000,vehicle_info_speed,0.0
1575033824439631050,60,3132432963000,vehicle_info_speed,0.0
1575033824462549606,61,3132443298000,vehicle_info_speed,0.0
1575033824491124149,62,3132453858000,vehicle_info_speed,0.0
1575033824501011136,63,3132463356000,vehicle_info_speed,0.0
1575033824514833940,64,3132473261000,vehicle_info_speed,0.0
1575033824536870140,65,3132483444000,vehicle_info_speed,0.0
1575033824561293995,66,3132494472000,vehicle_info_speed,0.0
1575033824573955744,67,3132503445000,vehicle_info_speed,0.0
1575033824591314034,68,3132513941000,vehicle_info_speed,0.0
1575033824608885169,69,3132523485000,vehicle_info_speed,0.0
1575033824629086713,70,3132533858000,vehicle_info_speed,0.0
1575033824639183161,71,3132543897000,vehicle_info_speed,0.0
1575033824660081073,72,3132553858000,vehicle_info_speed,0.0
1575033824677470046,73,3132563601000,vehicle_info_speed,0.0
1575033824695799306,74,3132573858000,vehicle_info_speed,0.0
1575033824705882934,75,3132583542000,vehicle_info_speed,0.0
1575033824733149705,76,3132593335000,vehicle_info_speed,0.0
1575033824752873049,77,3132603862000,vehicle_info_speed,0.0
1575033824765819999,78,3132613910000,vehicle_info_speed,0.0
1575033824786331559,79,3132623974000,vehicle_info_speed,0.0
1575033824816834673,80,3132633870000,vehicle_info_speed,0.0
1575033824827508505,81,3132643926000,vehicle_info_speed,0.0
1575033824837477161,82,3132653810000,vehicle_info_speed,0.0
1575033824855584329,83,3132664107000,vehicle_info_speed,0.0
1575033824883273350,84,3132673858000,vehicle_info_speed,0.0
1575033824883290484,85,3132683906000,vehicle_info_speed,0.0
1575033824903997018,86,3132693550000,vehicle_info_speed,0.0
1575033824924031352,87,3132703895000,vehicle_info_speed,0.0
1575033824937670243,88,3132713899000,vehicle_info_speed,0.0
1575033824958424043,89,3132723949000,vehicle_info_speed,0.0
1575033824973685251,90,3132733884000,vehicle_info_speed,0.0
1575033824992818522,91,3132743973000,vehicle_info_speed,0.0
